Club,Location,club_name,latitude,longitude
Atalanta,Bergamo,Atalanta BC,45.756655699999996,9.754219200862249
Bologna,Bologna,Bologna FC 1909,44.4938203,11.3426327
Cremonese,Cremona,US Cremonese,45.22086405,10.037037979628856
Empoli,Empoli,FC Empoli,43.7194884,10.9458556
Fiorentina,Florence,ACF Fiorentina,43.7698712,11.2555757
Hellas Verona,Verona,Hellas Verona,45.4384958,10.9924122
Inter Milan,Milan,Inter Milan,45.4641943,9.1896346
Juventus,Turin,Juventus FC,45.0677551,7.6824892
Lazio,Rome,SS Lazio,41.8933203,12.4829321
Lecce,Lecce,US Lecce,40.152217300000004,18.2260628338229
AC Milan,Milan,AC Milan,45.4641943,9.1896346
Monza,Monza,AC Monza,45.639544,9.278869369225038
Napoli,Naples,SSC Napoli,40.8358846,14.2487679
Roma,Rome,AS Roma,41.8933203,12.4829321
Salernitana,Salerno,US Salernitana 1919,40.419441649999996,15.310756230322482
Sampdoria,Genoa,UC Sampdoria,44.40726,8.9338624
Sassuolo,Sassuolo,US Sassuolo,44.5409769,10.7829023
Spezia,La Spezia,Spezia Calcio,44.23836595,9.691232634547537
Torino,Turin,Torino FC,45.0677551,7.6824892
Udinese,Udine,Udinese Calcio,46.0634632,13.2358377
Arsenal,London Borough of Islington,Arsenal FC,51.54703495,-0.10165844952259628
Aston Villa,"Aston, Birmingham",Aston Villa,52.5006916,-1.8841916
Barnsley,Barnsley,,53.5527719,-1.4827755
Birmingham City,Birmingham,,52.4796992,-1.9026911
Blackburn Rovers,Blackburn,,53.749326,-2.4840566
Blackpool,Blackpool,,53.8179442,-3.0509812
Bolton Wanderers,Bolton,,53.5782863,-2.4300367
Bradford City,Bradford,,53.7944229,-1.7519186
Burnley,Burnley,,53.7907262,-2.2439196
Cardiff City,"Cardiff, Wales",,51.4816546,-3.1791934
Charlton Athletic,London Borough of Greenwich,,51.46862565,0.04883057313755089
Chelsea,London Borough of Hammersmith and Fulham,Chelsea FC,51.498314199999996,-0.22787818358222445
Coventry City,Coventry,,52.4081812,-1.510477
Crystal Palace,London Borough of Croydon,Crystal Palace,51.3550556,-0.0643103753173489
Derby County,Derby,,52.9212617,-1.4761491
Everton,Liverpool,Everton FC,53.4071991,-2.99168
Fulham,London Borough of Hammersmith and Fulham,Fulham FC,51.498314199999996,-0.22787818358222445
Hull City,Kingston upon Hull,,53.7435722,-0.3394758
Ipswich Town,Ipswich,,52.0579324,1.1528095
Leeds United,Leeds,Leeds United,53.7974185,-1.5437941
Leicester City,Leicester,Leicester City,52.6362,-1.1331969
Liverpool,Liverpool,Liverpool FC,53.4071991,-2.99168
Manchester City,Manchester,Manchester City,53.4794892,-2.2451148
Manchester United,"Trafford, Greater Manchester",Manchester United,53.41893605,-2.359297161165271
Middlesbrough,Middlesbrough,,54.5760419,-1.2344047
Newcastle United,Newcastle upon Tyne,Newcastle United,54.9738474,-1.6131572
Norwich City,Norwich,,52.6285576,1.2923954
Nottingham Forest,West Bridgford,Nottingham Forest,52.9310754,-1.1256663
Oldham Athletic,Oldham,,35.3907651,-102.6193428
Portsmouth,Portsmouth,,50.8036831,-1.075614
Queens Park Rangers,London Borough of Hammersmith & Fulham,,51.4811483,-0.1987175553994388
Reading,Reading,,51.456659,-0.9696512
Sheffield United,Sheffield,,53.3806626,-1.4702278
Sheffield Wednesday,Sheffield,,53.3806626,-1.4702278
Southampton,Southampton,Southampton FC,50.9025349,-1.404189
Stoke City,Stoke-on-Trent,,53.0162014,-2.1812607
Sunderland,Sunderland,,54.9058512,-1.3828727
Swansea City,"Swansea, Wales",,51.6195955,-3.9459248
Swindon Town,Swindon,,51.5613683,-1.7856853
Tottenham Hotspur,London Borough of Haringey,Tottenham Hotspur,51.587929849999995,-0.10541771297992009
Watford,Watford,,51.6553875,-0.3957425
West Bromwich  Albion,West Bromwich,,52.5186579,-1.9923114
West Ham United,London Borough of Newham,West Ham United,51.5300157,0.029309078788513746
Wigan Athletic,Wigan,,53.5457188,-2.6264624
Wimbledon ,London Borough of Merton,,51.41086985,-0.18809708858824303
Wolverhampton Wanderers,Wolverhampton,Wolverhampton Wanderers,52.5847651,-2.127567
Brest,Brest,Stade Brestois 29,48.3905283,-4.4860088
Troyes,Troyes,ESTAC Troyes,48.2971626,4.0746257
Montpellier,Montpellier,Montpellier HSC,43.6112422,3.8767337
Clermont Foot 63,Clermont-Ferrand,Clermont Foot 63,45.7774551,3.0819427
Lorient,Lorient,FC Lorient,47.7477336,-3.3660907
Stade Rennais (Rennes),Rennes,Stade Rennais FC,48.1113387,-1.6800198
Toulouse FC,Toulouse,FC Toulouse,43.6044622,1.4442469
RC Strasbourg,Strasbourg,RC Strasbourg Alsace,48.584614,7.7507127
RC Lens,Lens,RC Lens,50.4291723,2.8319805
OGC Nice,Nice,OGC Nice,43.7009358,7.2683912
LOSC Lille,Lille,LOSC Lille,50.6365654,3.0635282
FC Nantes,Nantes,FC Nantes,47.2186371,-1.5541362
AJ Auxerre,Auxerre,AJ Auxerre,47.7961287,3.570579
Girondins Bordeaux,Bordeaux,,44.841225,-0.5800364
AS Saint-Étienne,Saint-Étienne,,45.4401467,4.3873058
AS Monaco,Monaco,AS Monaco,43.7323492,7.4276832
Olympique Lyonnais,Lyon,Olympique Lyon,45.7578137,4.8320114
Olympique Marseille,Marseille,Olympique Marseille,43.2961743,5.3699525
Paris Saint-Germain,Paris,Paris Saint-Germain,48.8534951,2.3483915
Alavés,Vitoria-Gasteiz,,42.8465088,-2.6724025
Almería,Almería,UD Almería,36.8414197,-2.4628135
Athletic Bilbao,Bilbao,Athletic Bilbao,43.2630018,-2.9350039
Atlético Madrid,Madrid,Atlético de Madrid,40.4167047,-3.7035825
Barcelona,Barcelona,FC Barcelona,41.3828939,2.1774322
Cádiz,Cádiz,Cádiz CF,36.5297438,-6.2928976
Celta Vigo,Vigo,Celta de Vigo,42.2376602,-8.7247205
Getafe,Getafe,Getafe CF,40.3081807,-3.7302679
Girona,Girona,Girona FC,41.9793006,2.8199439
Granada,Granada,Granada CF,37.1734995,-3.5995337
Las Palmas,Las Palmas,,28.1288694,-15.4349015
Mallorca,Palma,RCD Mallorca,39.5695818,2.6500745
Osasuna,Pamplona,CA Osasuna,42.8181992,-1.6440089
Rayo Vallecano,Madrid,Rayo Vallecano,40.4167047,-3.7035825
Real Betis,Seville,Real Betis Balompié,37.3886303,-5.9953403
Real Madrid,Madrid,Real Madrid,40.4167047,-3.7035825
Real Sociedad,San Sebastián,Real Sociedad,43.3224219,-1.9838889
Sevilla,Seville,Sevilla FC,37.3886303,-5.9953403
Valencia,Valencia,Valencia CF,39.4697065,-0.3763353
Villarreal,Villarreal,Villarreal CF,39.9372616,-0.1004465
FC Augsburg,Augsburg,FC Augsburg,48.3668041,10.8986971
Bayer Leverkusen,Leverkusen,Bayer 04 Leverkusen,51.0324743,6.9881194
Bayern Munich,Munich,Bayern Munich,48.1371079,11.5753822
VfL Bochum,Bochum,VfL Bochum,51.4818111,7.2196635
Werder Bremen,Bremen,SV Werder Bremen,53.0758196,8.8071646
Borussia Dortmund,Dortmund,Borussia Dortmund,51.5142273,7.4652789
Borussia Mönchengladbach,Mönchengladbach,Borussia Mönchengladbach,51.1947131,6.4353792
Eintracht Frankfurt,Frankfurt,Eintracht Frankfurt,50.1106444,8.6820917
SC Freiburg,Freiburg im Breisgau,SC Freiburg,47.9960901,7.8494005
Hertha BSC,Berlin,Hertha BSC,52.5170365,13.3888599
1899 Hoffenheim,Sinsheim,TSG 1899 Hoffenheim,49.2553,8.87722
1. FC Köln,Cologne,1. FC Köln,50.938361,6.959974
RB Leipzig,Leipzig,RB Leipzig,51.3406321,12.3747329
Mainz 05,Mainz,1.FSV Mainz 05,50.0012314,8.2762513
Schalke 04,Gelsenkirchen,FC Schalke 04,51.5110321,7.0960124
VfB Stuttgart,Stuttgart,VfB Stuttgart,48.7784485,9.1800132
Union Berlin,Berlin,1.FC Union Berlin,52.5170365,13.3888599
VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,52.4205588,10.7861682
Ajax,Amsterdam,Ajax Amsterdam,52.3730796,4.8924534
AZ,Alkmaar,SS Lazio,52.600853799999996,4.817099446443963
Cambuur,Leeuwarden,SC Cambuur-Leeuwarden,53.2005936,5.7918548
FC Emmen,Emmen,FC Emmen,52.75286615,6.952513466208563
Excelsior,Rotterdam,Excelsior Rotterdam,51.9244424,4.47775
Feyenoord,Rotterdam,Feyenoord Rotterdam,51.9244424,4.47775
Fortuna Sittard,Sittard,Fortuna Sittard,50.9974235,5.8666627
Go Ahead Eagles,Deventer,Go Ahead Eagles,52.2695736,6.236339604766698
FC Groningen,Groningen,FC Groningen,53.2190652,6.5680077
SC Heerenveen,Heerenveen,SC Heerenveen,52.998474200000004,5.923148795038062
NEC,Nijmegen,NEC Nijmegen,51.842574850000005,5.838960628748229
PSV,Eindhoven,PSV Eindhoven,51.4392648,5.478633
RKC Waalwijk,Waalwijk,RKC Waalwijk,51.687337150000005,5.017307939950269
Sparta Rotterdama,Rotterdam,,51.9244424,4.47775
FC Twente,Enschede,Twente Enschede FC,52.2209855,6.8940537
FC Utrechtb,Utrecht,FC Utrecht,52.080985600000005,5.12768396945229
Vitesse,Arnhem,Vitesse Arnhem,51.984257,5.9108573
FC Volendam,Volendam,FC Volendam,52.4963759,5.0682736
Arouca,Arouca,FC Arouca,40.9289214,-8.2441746
Benfica,Lisbon,SL Benfica,38.7077507,-9.1365919
Boavista,Porto,Boavista FC,41.1494512,-8.6107884
Braga,Braga,SC Braga,41.5510583,-8.4280045
Casa Pia,Lisbon,Casa Pia AC,38.7077507,-9.1365919
Chaves,Chaves,GD Chaves,41.7399003,-7.4715213
Estoril,Estoril,GD Estoril Praia,38.70957065,-9.390136815849147
Famalicão,Vila Nova de Famalicão,FC Famalicão,41.4065175,-8.5187481
Gil Vicente,Barcelos,Gil Vicente FC,41.5314496,-8.6192306
Marítimo,Funchal,CS Marítimo,32.6496497,-16.9086783
Paços de Ferreira,Paços de Ferreira,FC Paços de Ferreira,41.290118,-8.378194008811969
Portimonense,Portimão,Portimonense SC,37.1375808,-8.5368426
Porto,Porto,FC Porto,41.1494512,-8.6107884
Rio Ave,Vila do Conde,Rio Ave FC,41.3540398,-8.7435403
Santa Clara,Ponta Delgada,CD Santa Clara,37.74757445,-25.672678266146384
Sporting CP,Lisbon,Sporting CP,38.7077507,-9.1365919
Vitória de Guimarães,Guimarães,Vitória Guimarães SC,41.4417677,-8.2955712
Vizela,Vizela,FC Vizela,41.3767158,-8.3083651
